CountyYear,Pop,All industry total,Private industries,"                Agriculture, forestry, fishing and hunting","                Mining, quarrying, and oil and gas extraction",Utilities,Construction,Manufacturing,Durable goods manufacturing,Nondurable goods manufacturing,Wholesale trade,Retail trade,Transportation and warehousing,Information,"                Finance, insurance, real estate, rental, and leasing",Finance and insurance,Real estate and rental and leasing,Professional and business services,"                        Professional, scientific, and technical services",Management of companies and enterprises,Administrative and support and waste management and remediation services,"                Educational services, health care, and social assistance",Educational services,Health care and social assistance,"                Arts, entertainment, recreation, accommodation, and food services","                        Arts, entertainment, and recreation",Accommodation and food services,Other services (except government and government enterprises),Government and government enterprises
Davis2022,369948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchesne2000,14449,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duchesne2001,14652,"373,136","306,411","18,215","76,461","1,583","32,486","5,308","4,411",897,"5,851","24,162","19,826","13,387","66,134","8,568","57,567","7,779",S,S,"2,017","15,718",S,S,"6,495",183,"6,311","13,005","66,725"
Duchesne2002,14969,"375,814","304,472","6,282","66,757","1,812","33,547","6,271","5,129","1,141","7,721","23,329","19,396","18,165","72,057","10,218","61,839","7,682","3,280",S,S,"18,071",157,"17,915","8,779",S,S,"14,603","71,343"
Duchesne2003,15002,"405,236","332,003","12,190","73,100","1,947","30,296","7,284","5,886","1,398","8,841","25,535","21,534","21,336","76,548","10,563","65,985","9,133",S,S,S,"20,265",147,"20,118","9,019",260,"8,759","14,976","73,234"
Duchesne2004,15101,"480,679","403,420","23,652","123,516","2,226","19,004","8,578","7,495","1,083","12,111","29,868","25,387","25,662","74,468","11,542","62,926","9,269",S,S,"2,441","24,599",S,S,"9,648",155,"9,493","15,433","77,258"
Duchesne2005,15473,"640,733","552,427","26,493","208,813","2,156","30,364","17,466","16,431","1,035","11,091","28,505","35,571","27,183","94,220","11,408","82,813","18,451","4,796",S,S,"26,270",208,"26,063","9,570",114,"9,456","16,273","88,306"
Duchesne2006,15823,"742,529","649,763","8,223","273,221","2,374","39,299","18,780","17,941",840,"14,046","32,354","48,545","34,458","101,819","13,136","88,683","20,442","5,762",S,S,"28,215",344,"27,871","10,475",S,S,"17,512","92,766"
Duchesne2007,16651,"913,648","817,992","17,343","370,774","2,079","57,914","25,133","24,212",921,"20,705","37,052","59,120","42,432","104,674","12,089","92,585","22,842","7,392",S,S,"27,792",334,"27,458","10,757",330,"10,426","19,375","95,656"
Duchesne2008,17412,"1,131,825","1,026,460","31,509","483,260","2,461","75,952","24,389","23,280","1,110","26,007","39,938","78,306","55,589","124,616","11,237","113,379","26,604","8,420",S,S,"25,399",312,"25,088","10,914",379,"10,536","21,515","105,365"
Duchesne2009,18536,"965,966","861,299","17,661","344,094","2,608","65,785","18,385","16,819","1,566","26,260","39,116","69,207","54,597","141,075","9,345","131,730","24,897","7,634",S,S,"23,964",285,"23,679","10,638",457,"10,181","23,011","104,667"
Duchesne2010,18647,"1,032,008","921,648","9,658","434,666","2,687","61,001","15,428","14,343","1,084","28,405","39,138","64,825","43,473","137,725","9,507","128,218","29,696","7,967",S,S,"22,802",319,"22,482","10,436",540,"9,897","21,710","110,359"
Duchesne2011,18700,"1,159,438","1,043,675","9,287","530,222","2,308","65,426","15,024","13,107","1,917","30,990","38,921","77,842","36,162","149,398","9,704","139,694","33,204","9,774",S,S,"23,009",313,"22,696","10,207",872,"9,335","21,675","115,762"
Duchesne2012,18999,"1,271,763","1,155,396","15,810","589,854","2,467","75,454","34,566","32,779","1,787","35,011","42,070","91,819","32,515","139,811","11,211","128,600","36,595","10,941",S,S,"22,421",S,S,"12,200","1,136","11,065","24,803","116,367"
